,game_id,year_id,fran_id,opp_fran,game_location,is_playoffs,pts,opp_pts,game_result,forecast,point_diff
22778,201202220OKC,2012,Thunder,Celtics,H,0,119,104,W,0.82003802,15
22779,201202220OKC,2012,Celtics,Thunder,A,0,104,119,L,0.17996198,-15
22780,201202230DEN,2012,Spurs,Nuggets,A,0,114,99,W,0.45677429,15
22781,201202230MIA,2012,Knicks,Heat,A,0,88,102,L,0.13529104,-14
22782,201202230OKC,2012,Thunder,Lakers,H,0,100,85,W,0.74626923,15
22783,201202280CLE,2012,Celtics,Cavaliers,A,0,86,83,W,0.52760482,3
22784,201202280DAL,2012,Nets,Mavericks,A,0,93,92,W,0.10348606,1
22785,201202290BOS,2012,Celtics,Bucks,H,0,102,96,W,0.70043713,6
22786,201202290NYK,2012,Knicks,Cavaliers,H,0,120,103,W,0.76609766,17
22787,201202290PHI,2012,Thunder,Sixers,A,0,92,88,W,0.53236693,4
22788,201202290SAS,2012,Spurs,Bulls,H,0,89,96,L,0.60747677,-7
22789,201203010ORL,2012,Thunder,Magic,A,0,105,102,W,0.51354825,3
22790,201203020BOS,2012,Celtics,Nets,H,0,107,94,W,0.82045704,13
22791,201203020BOS,2012,Nets,Celtics,A,0,94,107,L,0.17954296,-13
